language,package,module,source,line,local_version,status,lock_status
R,fgsea,fgsea,analysis/organoid/analyze_organoid.R,,,SEE_R_INVENTORY,NOT_A_HISTORICAL_LOCK
Python,requests,requests,data_prep/organoid_counts/download_organoid.py,3,2.31.0,INSTALLED_LOCAL,NOT_A_HISTORICAL_LOCK
Python,numpy,numpy,data_prep/organoid_counts/export_r_capture.py,3,2.0.2,INSTALLED_LOCAL,NOT_A_HISTORICAL_LOCK
Python,pandas,pandas,data_prep/organoid_counts/export_r_capture.py,3,2.2.3,INSTALLED_LOCAL,NOT_A_HISTORICAL_LOCK
Python,numpy,numpy,analysis/organoid/finalize_organoid.py,4,2.0.2,INSTALLED_LOCAL,NOT_A_HISTORICAL_LOCK
Python,pandas,pandas,analysis/organoid/finalize_organoid.py,4,2.2.3,INSTALLED_LOCAL,NOT_A_HISTORICAL_LOCK
Python,scipy,scipy.stats,analysis/organoid/finalize_organoid.py,5,1.14.1,INSTALLED_LOCAL,NOT_A_HISTORICAL_LOCK
Python,scipy,scipy.io,analysis/organoid/finalize_organoid.py,6,1.14.1,INSTALLED_LOCAL,NOT_A_HISTORICAL_LOCK
Python,requests,requests,data_prep/organoid_counts/organoid_source_probe.py,2,2.31.0,INSTALLED_LOCAL,NOT_A_HISTORICAL_LOCK
Python,beautifulsoup4,bs4,data_prep/organoid_counts/organoid_source_probe.py,18,,MISSING_LOCAL,NOT_A_HISTORICAL_LOCK
Python,numpy,numpy,data_prep/conditional/prepare_conditional.py,4,2.0.2,INSTALLED_LOCAL,NOT_A_HISTORICAL_LOCK
Python,pandas,pandas,data_prep/conditional/prepare_conditional.py,4,2.2.3,INSTALLED_LOCAL,NOT_A_HISTORICAL_LOCK
Python,numpy,numpy,data_prep/organoid_counts/prepare_organoid.py,3,2.0.2,INSTALLED_LOCAL,NOT_A_HISTORICAL_LOCK
Python,pandas,pandas,data_prep/organoid_counts/prepare_organoid.py,3,2.2.3,INSTALLED_LOCAL,NOT_A_HISTORICAL_LOCK
Python,scipy,scipy.sparse,data_prep/organoid_counts/prepare_organoid.py,4,1.14.1,INSTALLED_LOCAL,NOT_A_HISTORICAL_LOCK
Python,scipy,scipy.io,data_prep/organoid_counts/prepare_organoid.py,5,1.14.1,INSTALLED_LOCAL,NOT_A_HISTORICAL_LOCK
R,Matrix,Matrix,tests/recorded/serialization_fixture.R,,,SEE_R_INVENTORY,NOT_A_HISTORICAL_LOCK
R,Seurat,Seurat,tests/recorded/serialization_fixture.R,,,SEE_R_INVENTORY,NOT_A_HISTORICAL_LOCK
Python,numpy,numpy,data_prep/organoid_counts/stream_r_object.py,9,2.0.2,INSTALLED_LOCAL,NOT_A_HISTORICAL_LOCK
Python,numpy,numpy,tests/recorded/test_r_reader.py,3,2.0.2,INSTALLED_LOCAL,NOT_A_HISTORICAL_LOCK
Python,pandas,pandas,tests/recorded/test_r_reader.py,3,2.2.3,INSTALLED_LOCAL,NOT_A_HISTORICAL_LOCK
Python,scipy,scipy.sparse,tests/recorded/test_r_reader.py,4,1.14.1,INSTALLED_LOCAL,NOT_A_HISTORICAL_LOCK
Python,numpy,numpy,tests/recorded/verify_conditional.py,3,2.0.2,INSTALLED_LOCAL,NOT_A_HISTORICAL_LOCK
Python,pandas,pandas,tests/recorded/verify_conditional.py,3,2.2.3,INSTALLED_LOCAL,NOT_A_HISTORICAL_LOCK
Python,scipy,scipy.stats,tests/recorded/verify_conditional.py,4,1.14.1,INSTALLED_LOCAL,NOT_A_HISTORICAL_LOCK
Python,numpy,numpy,tests/recorded/verify_models_readonly.py,4,2.0.2,INSTALLED_LOCAL,NOT_A_HISTORICAL_LOCK
Python,pandas,pandas,tests/recorded/verify_models_readonly.py,4,2.2.3,INSTALLED_LOCAL,NOT_A_HISTORICAL_LOCK
